unique_key,lang,link,question_number,flores_passage,question,mc_answer1,mc_answer2,mc_answer3,mc_answer4,correct_answer_num,dialect,ds
https://en.wikibooks.org/wiki/Golf_1,eng_Latn,https://en.wikibooks.org/wiki/Golf,1,"Golf is a game in which players use clubs to hit balls into holes. Eighteen holes are played during a regular round, with players usually starting on the first hole on the course and finishing on the eighteenth. The player who takes the fewest strokes, or swings of the club, to complete the course wins. The game is played on grass, and the grass around the hole is mown shorter and called the green.",The goal of golf is to take the least amount of what?,Balls,Stokes,Time,Holes,2,eng_Latn,2023-05-03
https://en.wikibooks.org/wiki/History_of_Rail_Transport/Early_Rail_Transportation_2,eng_Latn,https://en.wikibooks.org/wiki/History_of_Rail_Transport/Early_Rail_Transportation,2,"Wagonways were built in England as early as the 16th Century. Although wagonways merely consisted of parallel planks of wood, they allowed horses pulling them to achieve greater speeds and pull larger loads than on the slightly more rough roads of the day. Crossties were introduced fairly early to hold the tracks in place. Gradually, however, it was realised that tracks would be more efficient if they had a stip of iron on the top. This became common practice, but the iron caused more wear on the wooden wheels of the wagons. Eventually, wooden wheels were replaced by iron wheels. In 1767, the first full-iron rails were introduced.","According to the passage, why were wooden wheels replaced by iron wheels?",The increased the horses speed,They were considered more efficient,They were able to handle larger loads,They were being worn down by the iron on the tracks,4,eng_Latn,2023-05-03
https://en.wikibooks.org/wiki/Lucid_Dreaming/Induction_Techniques_1,eng_Latn,https://en.wikibooks.org/wiki/Lucid_Dreaming/Induction_Techniques,1,"Sleep interruption is the process of purposefully awakening during your normal sleep period and falling asleep a short time later (10–60 minutes). This can be easily done by using a relatively quiet alarm clock to bring you to consciousness without fully waking you. If you find yourself resetting the clock in your sleep, it can be placed on the other side of the room, forcing you to get out of bed to turn it off. Other biorhythm-based options involve drinking lots of fluid (particularly water or tea, a known diuretic) prior to sleep, forcing one to get up to urinate.","After purposefully awakening during the normal sleep period, which of these would interfere with the sleep interruption process?",Reading for an hour and half before falling back to sleep,Using the bathroom and going right back to bed,Shutting off the alarm on your nightstand and falling back to sleep twenty minutes later,Waking up to drink water from a bottle on your nightstand,1,eng_Latn,2023-05-03
https://en.wikibooks.org/wiki/Modern_Photography/Lenses_2,eng_Latn,https://en.wikibooks.org/wiki/Modern_Photography/Lenses,2,The disadvantage of zoom lenses is that the focal complexity and number of lens elements required to achieve a range of focal lengths is much greater than for prime lenses. This is becoming less of an issue as lens manufacturers achieve higher standards in lens production. This has allowed zoom lenses to produce pictures of a quality comparable to that achieved by lenses with fixed focal length. Another disadvantage of zoom lenses is that the maximum aperture (the speed) of the lens is usually lower. This makes inexpensive zoom lenses hard to use in low-light conditions without a flash.,"Based on the information in the passage, when might a zoom lens be preferable to a prime lens?",If a high maximum aperture is a priority,If you want less lens elements,If you don’t want to use a flash in darker settings,If you’re looking for more focal complexity,4,eng_Latn,2023-05-03
https://en.wikibooks.org/wiki/Sensory_Systems/Visual_System_1,eng_Latn,https://en.wikibooks.org/wiki/Sensory_Systems/Visual_System,1,"Vision, or the ability to see depends on visual system sensory organs or eyes. There are many different constructions of eyes, ranging in complexity depending on the requirements of the organism. The different constructions have different capabilities, are sensitive to different wave-lengths and have differing degrees of acuity, also they require different processing to make sense of the input and different numbers to work optimally.",What is the ability to see dependent upon?,Visual system sensory organs,The requirements of an organism ,A sensitivity to certain wave-lengths,Varying degrees of acuity,1,eng_Latn,2023-05-03
https://en.wikibooks.org/wiki/Sensory_Systems/Visual_System_2,eng_Latn,https://en.wikibooks.org/wiki/Sensory_Systems/Visual_System,2,"Vision, or the ability to see depends on visual system sensory organs or eyes. There are many different constructions of eyes, ranging in complexity depending on the requirements of the organism. The different constructions have different capabilities, are sensitive to different wave-lengths and have differing degrees of acuity, also they require different processing to make sense of the input and different numbers to work optimally.",What does the variation of eye structure between organisms depend upon?,Wavelength sensitivity,The requirements of the organism,Level of acuity,The complexity of the organism,2,eng_Latn,2023-05-03
https://en.wikibooks.org/wiki/Sikhism_2,eng_Latn,https://en.wikibooks.org/wiki/Sikhism,2,"""Sikhism is a religion from the Indian sub-continent. It originated in the Punjab region during the 15th century from a sectarian split within the Hindu tradition. Sikhs consider their faith to be a separate religion from Hinduism though they acknowledge its Hindu roots and traditions. Sikhs call their religion Gurmat, which is Punjabi for """"way of the guru"""". The guru is a fundamental aspect of all Indian religions but in Sikhism has taken on an importance that forms the core of Sikh beliefs. The religion was founded in the 15th century by Guru Nanak (1469–1539). There followed in succession a further nine gurus.""","According to the passage, which of the following is considered a core aspect of the Sikh belief system?",The concept of the guru,Hindu traditions ,A refusal to acknowledge other Indian religions,Speaking the Punjabi language,1,eng_Latn,2023-05-03
https://en.wikibooks.org/wiki/Wikijunior:Ancient_Civilizations/Norse_2,eng_Latn,https://en.wikibooks.org/wiki/Wikijunior:Ancient_Civilizations/Norse,2,"Greenland was settled sparsely. In the Norse sagas they say that Erik the Red was exiled from Iceland for murder, and when travelling further west, found Greenland and named it Greenland. But regardless of his discovery, Eskimo tribes were already living there at the time. Though each country was 'Scandinavian', there were many differences between the people, kings, customs and history of Denmark, Sweden, Norway and Iceland.",Who settled in Greenland first?,Eskimo tribes,Norwegians,Erik the Red,Swedes ,1,eng_Latn,2023-05-03
https://en.wikibooks.org/wiki/Wikijunior:Asia/Bhutan_2,eng_Latn,https://en.wikibooks.org/wiki/Wikijunior:Asia/Bhutan,2,"The Drukgyal Dzong is a ruined fortress and Buddhist monastery in the upper part of the Paro District (in Phondey Village). It is said that in 1649, Zhabdrung Ngawang Namgyel created the fortress to commemorate his victory against the Tibetan-Mongol forces. In 1951, a fire caused for only some of the relics of the Drukgyal Dzong to remain, such as the image of Zhabdrung Ngawang Namgyal. After the fire, the fortress was preserved and protected, remaining to be one of Bhutan's most sensational attractions.",Which statement accurately describes the outcome of the fire at the Drukgyal Dzong?,The only remaining relic was Zhabdrung Ngawang Namgyal’s image,The Tibetan-Mongol forces were victorious,The attraction’s popularity was not affected,It was preserved by Zhabdrung Ngawang Namgyel,3,eng_Latn,2023-05-03
https://en.wikibooks.org/wiki/Wikijunior:Biology/Origin_of_Life_2,eng_Latn,https://en.wikibooks.org/wiki/Wikijunior:Biology/Origin_of_Life,2,"When a small group of living things (a small population) gets separated from the main population that they came from (like if they move over a mountain range or a river, or if they move to a new island so that they can't easily move back) they will often find themselves in a different environment than they were in before. This new environment has different resources and different competitors, so the new population will need different features or adaptations to be a strong competitor than what they had needed before. The original population hasn't changed at all, they still need the same adaptations as before. Over time, as the new population begins to adapt to their new environment, they start to look less and less like the other population. Eventually, after thousands or even millions of years, the two populations will look so different that they can't be called the same species. We call this process speciation, which just means the formation of new species. Speciation is an unavoidable consequence and a very important part of evolution.",Which of the following statements does not accurately describe the process of speciation? ,It occurs when a new population is unable to adapt,It’s a crucial aspect of the evolution process,It refers to the formation of a new species,It’s occurrence is inevitable,1,eng_Latn,2023-05-03
https://en.wikibooks.org/wiki/Wikijunior:Biology/Systems/Circulatory_System_2,eng_Latn,https://en.wikibooks.org/wiki/Wikijunior:Biology/Systems/Circulatory_System,2,"The major organ of the circulatory system is the heart, which pumps the blood. Blood goes away from the heart in tubes called arteries and comes back to the heart in tubes called veins. The smallest tubes are called capillaries.",Which tubes are the smallest in the circulatory system?,Capillaries,Arteries,Veins,Organs,1,eng_Latn,2023-05-03
https://en.wikibooks.org/wiki/Wikijunior:Europe/Luxembourg_2,eng_Latn,https://en.wikibooks.org/wiki/Wikijunior:Europe/Luxembourg,2,Luxembourg has a long history but its independence dates from 1839. Present-day parts of Belgium were part of Luxembourg in the past but became Belgian after the 1830s Belgian Revolution. Luxembourg has always tried to remain a neutral country but it was occupied in both World War I and World War II by Germany. In 1957 Luxembourg became a founding member of the organization which is today known as the European Union.,Which of the following affected Luxembourg’s neutrality?,German occupation,Joining the European Union,The Belgian Revolution,Becoming an independent country,1,eng_Latn,2023-05-03
https://en.wikibooks.org/wiki/Wikijunior:Europe/Turkey_1,eng_Latn,https://en.wikibooks.org/wiki/Wikijunior:Europe/Turkey,1,"European Turkey (eastern Thrace or Rumelia in the Balkan peninsula) includes 3% of the country. The territory of Turkey is more than 1,600 kilometres (1,000 mi) long and 800 km (500 mi) wide, with a roughly rectangular shape. Turkey's area, including lakes, occupies 783,562 square kilometres (300,948 sq mi), of which 755,688 square kilometres (291,773 sq mi) are in south west Asia and 23,764 square kilometres (9,174 sq mi) in Europe. Turkey's area makes it the world's 37th-largest country, and is about the size of Metropolitan France and the United Kingdom combined. Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.",How many square kilometers of Turkey’s total area are in Europe?,9174,755688,1600,23764,4,eng_Latn,2023-05-03
https://en.wikibooks.org/wiki/Wikijunior:Europe/Vatican_City_1,eng_Latn,https://en.wikibooks.org/wiki/Wikijunior:Europe/Vatican_City,1,Vatican City's population is around 800. It is the smallest independent country in the world and the country with the lowest population. Vatican City uses Italian in its legislation and official communications. Italian is also the everyday language used by most of those who work in the state while Latin is often used in religious ceremonies. All citizens of Vatican City are Roman Catholic.,What is the Latin language used for in Vatican City?,Religious ceremonies,Everyday communication,Legislation,Official communication,1,eng_Latn,2023-05-03
https://en.wikibooks.org/wiki/Wikijunior:How_Things_Work/Computer_1,eng_Latn,https://en.wikibooks.org/wiki/Wikijunior:How_Things_Work/Computer,1,"Computers today are used to manipulate pictures and videos. Sophisticated animations can be constructed on computers, and this kind of animation is increasingly being used in television and films. Music is often recorded using sophisticated computers to process and mix sounds together.","According to the passage, which of the following benefits from sound mixing on sophisticated computers?",Music,Animations,Pictures,Construction,1,eng_Latn,2023-05-03
https://en.wikibooks.org/wiki/Wikijunior:How_Things_Work/Flush_Toilet_2,eng_Latn,https://en.wikibooks.org/wiki/Wikijunior:How_Things_Work/Flush_Toilet,2,"The cities of Harappa and Mohenjo-daro had a flush toilet in almost every house, attached to a sophisticated sewage system. Remains of sewage systems have been found in the houses of the Minoan cities of Crete and Santorini in Greece. There were also toilets in ancient Egypt, Persia and China. In Roman civilization, toilets were sometimes part of public bath houses where men and women were together in mixed company.",In which of the following locations were advanced sewage systems found?,Harappa,Santorini,Egypt ,China,1,eng_Latn,2023-05-03
https://en.wikibooks.org/wiki/Wikijunior:How_Things_Work/Laser_1,eng_Latn,https://en.wikibooks.org/wiki/Wikijunior:How_Things_Work/Laser,1,"""To return to their previous energy level, they must get rid of the extra energy they got from the light. They do this by emitting a tiny particle of light called a """"photon"""". Scientists call this process """"stimulated emission of radiation"""" because the atoms are stimulated by the bright light, causing the emission of a photon of light, and light is a type of radiation. The next picture shows the atoms emitting photons. Of course, in reality photons are a lot smaller than those in the picture. Photons are even smaller than the stuff that makes up atoms!""","According to the passage, what is the process that allows atoms to eliminate excess energy from the light?",Radiation ,Stimulated emission of photons,Photon,Stimulated emission of radiation,4,eng_Latn,2023-05-03
https://en.wikibooks.org/wiki/Wikijunior:Languages/Estonian_2,eng_Latn,https://en.wikibooks.org/wiki/Wikijunior:Languages/Estonian,2,"""Around the 15th century, northern Estonia was under great cultural influence of Germany. Some German monks wanted to bring God closer to the native people, so they invented the Estonian literal language. It was based on the German alphabet and one character """"Õ/õ"""" was added. As time passed, many words that were borrowed from German coalesced. This was the beginning of enlightenment.""",The Estonian language was influenced by what?,The character Õ/õ,The German alphabet,German monks,God,2,eng_Latn,2023-05-03
https://en.wikibooks.org/wiki/Wikijunior:Solar_System/Moon_1,eng_Latn,https://en.wikibooks.org/wiki/Wikijunior:Solar_System/Moon,1,The surface of the Moon is made of rocks and dust. The outer layer of the Moon is called the crust. The crust is about 70 km thick on the near side and 100 km thick on the far side. It is thinner under the maria and thicker under the highlands. There may be more maria on the near side because the crust is thinner. It was easier for lava to rise up to the surface.,"According to the passage, which of the following statements accurately describes the Moon’s outer layer?",The near side has a thicker crust,The crust is thinner under the highlands,There may be less maria on the far side,There may be less maria under the highlands,3,eng_Latn,2023-05-03
https://en.wikibooks.org/wiki/Wikijunior:South_America/The_Amazon_2,eng_Latn,https://en.wikibooks.org/wiki/Wikijunior:South_America/The_Amazon,2,"The Amazon River is the second longest and the biggest river on Earth. It carries more than 8 times as much water as the second biggest river. The Amazon is also the widest river on Earth, at times six miles wide. A full 20 percent of the water that pours out of the planet's rivers into the oceans comes from the Amazon. The main Amazon River is 6,387 km (3,980 miles). It collects water from thousands of smaller rivers.",Which accolade is not attributed to the Amazon River?,It’s the second longest river,It’s the biggest river,It’s the longest river,It’s the widest river,3,eng_Latn,2023-05-03
https://en.wikibooks.org/wiki/Wikijunior:World_Heritage_Sites/Serengeti_1,eng_Latn,https://en.wikibooks.org/wiki/Wikijunior:World_Heritage_Sites/Serengeti,1,"Every year around October nearly 1.5 million herbivores travel towards the southern plains, crossing the Mara River, from the northern hills for the rains. And then back to the north through the west, once again crossing the Mara river, after the rains in around April. The Serengeti region contains the Serengeti National Park, the Ngorongoro Conservation Area and Maswa Game Reserve in Tanzania and the Maasai Mara National Reserve in Kenya.","According to the passage, where do herbivores travel from in pursuit of the rains?",The western plains,The northern hills,The southern plains,The western hills,2,eng_Latn,2023-05-03
https://en.wikinews.org/wiki/24_people_rescued_from_roller_coaster_at_California%27s_Great_America_theme_park_1,eng_Latn,https://en.wikinews.org/wiki/24_people_rescued_from_roller_coaster_at_California%27s_Great_America_theme_park,1,"""Passengers were given water as they waited in 90(F)-degree heat. Fire captain Scott Kouns said, """"It was a hot day in the Santa Clara with temperatures in the 90s. Any length of time trapped on a roller coaster would be uncomfortable, to say the least, and it took at least an hour to get the first person off the ride.""""""","Based on the passage, which of the following statements is not true?",There was a fire in Santa Clara,People were stuck on a roller coaster,Passengers were given water,It took at least 60 minutes to get the first person off the ride,1,eng_Latn,2023-05-03
https://en.wikinews.org/wiki/Anonymous_people_reveal_animal_cruelty_at_Australian_Inghams_poultry_producer_factory_using_CCTV_footage_1,eng_Latn,https://en.wikinews.org/wiki/Anonymous_people_reveal_animal_cruelty_at_Australian_Inghams_poultry_producer_factory_using_CCTV_footage,1,"""Animal Liberation and the Royal Society for the Prevention of Cruelty to Animals (RSPCA) are again calling for the mandatory installation of CCTV cameras in all Australian abattoirs. RSPCA New South Wales chief inspector David O'Shannessy told the ABC that surveillance and inspections of abattoirs should be commonplace in Australia. """"The CCTV would certainly send a strong signal to those people working with animals that their welfare is of the highest priority.""""""","According to a chief inspector for the RSPCA, inspections should be standard for which of the following?",CCTV cameras,Anyone working with animals,Surveillance installations,Abattoirs,4,eng_Latn,2023-05-03
https://en.wikinews.org/wiki/Anonymous_people_reveal_animal_cruelty_at_Australian_Inghams_poultry_producer_factory_using_CCTV_footage_2,eng_Latn,https://en.wikinews.org/wiki/Anonymous_people_reveal_animal_cruelty_at_Australian_Inghams_poultry_producer_factory_using_CCTV_footage,2,"""Animal Liberation and the Royal Society for the Prevention of Cruelty to Animals (RSPCA) are again calling for the mandatory installation of CCTV cameras in all Australian abattoirs. RSPCA New South Wales chief inspector David O'Shannessy told the ABC that surveillance and inspections of abattoirs should be commonplace in Australia. """"The CCTV would certainly send a strong signal to those people working with animals that their welfare is of the highest priority.""""""","According to the passage, what could help solidify the importance of animal welfare to Australian abattoir workers?",The installation of CCTV cameras ,Mandatory meetings with RSPCA,Regular abattoir inspections,Oversight from the ABC,1,eng_Latn,2023-05-03
https://en.wikinews.org/wiki/Anti-ACTA_activists_protest_across_Europe_1,eng_Latn,https://en.wikinews.org/wiki/Anti-ACTA_activists_protest_across_Europe,1,"Organisers of the protest said about 100,000 people turned up in German cities such as Berlin, Cologne, Hamburg, and Hanover. In Berlin, police estimated 6,500 protestors. Protests also took place in Paris, Sofia in Bulgaria, Vilnius in Lithuania, Valetta in Malta, Tallinn in Estonia, and Edinburgh and Glasgow in Scotland. In London, about 200 people protested outside some major copyright holders' offices. Last month, there were major protests in Poland when that country signed ACTA, which has led to the Polish government deciding not to ratify the agreement, for now. Latvia and Slovakia have both delayed the process of joining ACTA.","In response to the protests, which country did not move forward with their signed ACTA agreement?",Germany,Poland,Scotland,Lithuania,2,eng_Latn,2023-05-03
https://en.wikinews.org/wiki/Austria_leads_medal_count_after_second_day_of_2013_IPC_Alpine_World_Championships_1,eng_Latn,https://en.wikinews.org/wiki/Austria_leads_medal_count_after_second_day_of_2013_IPC_Alpine_World_Championships,1,"With only eighteen medals available a day, a number of countries have failed to make the medal podium. They include the Netherlands, with Anna Jochemsen finishing ninth in the women's standing class in the Super-G yesterday, and Finland with Katja Saarinen finishing tenth in the same event. Australia's Mitchell Gourley finished eleventh in the men's standing Super-G. Czech competitor Oldrich Jelinek finished sixteenth in the men's sitting Super-G. Arly Velasquez of Mexico finished fifteenth in the men's sitting Super-G. New Zealand's Adam Hall finished ninth in the men's standing Super-G. Poland's men's visually impaired skier Maciej Krezel and guide Anna Ogarzynska finished thirteenth in the Super-G. South Korea's Jong Seork Park finished twenty-fourth in the men's sitting Super-G.",Which skier competed with the help of a guide?,Anna Jochemsen,Jong Seork Park,Maciej Krezel,Anna Ogarzynska,3,eng_Latn,2023-05-03
https://en.wikinews.org/wiki/Building_collapses_in_Mecca_at_eve_of_Hajj_pillgrimage_2,eng_Latn,https://en.wikinews.org/wiki/Building_collapses_in_Mecca_at_eve_of_Hajj_pillgrimage,2,"A hostel collapsed in Mecca, the holy city of Islam at about 10 o'clock this morning local time. The building housed a number of pilgrims who came to visit the holy city at the eve of hajj pilgrimage. The hostel's guests were mostly citizens of the United Arab Emirates. The death toll is at least 15, a figure which is expected to rise.","According to the passage, which of the following statements is true?",There were no fatalities,All of the guests were from the United Arab Emirates,The guests were there for the eve of hajj pilgrimage,The majority of guests were Mecca locals,3,eng_Latn,2023-05-03
https://en.wikinews.org/wiki/California_bans_sale_of_violent_video_games_to_minors_1,eng_Latn,https://en.wikinews.org/wiki/California_bans_sale_of_violent_video_games_to_minors,1,"""California Governor Arnold Schwarzenegger signed into law a bill that bans the sale or rental of violent video games to minors. The bill requires violent video games sold in the state of California to be labeled with a decal reading """"18"""" and makes their sale to a minor punishable by a fine of $1000 per offense.""",What isn’t a part of the bill signed by Governor Arnold Schwarzenegger?,A ban on the sale or rental of violent video games to minors throughout California,Monetary fines for offenders,A ban on the sale or rental of violent video games to minors outside of California,A decal requirement on violent games,3,eng_Latn,2023-05-03
https://en.wikinews.org/wiki/Car_women%27s_rugby_7%27s_tournament_2,eng_Latn,https://en.wikinews.org/wiki/Car_women%27s_rugby_7%27s_tournament,2,"The games kicked off at 10:00am with great weather and apart from mid morning drizzle which quickly cleared up, it was a perfect day for 7's rugby. Tournament top seeds South Africa started on the right note when they had a comfortable 26 - 00 win against 5th seeded Zambia. Looking decidedly rusty in the game against their southern sisters, South Africa however steadily improved as the tournament progressed. Their disciplined defence, ball handling skills and excellent team work made them stand out and it was clear that this was the team to beat.","According to the passage, when did South Africa’s game begin to improve?",Around 10:00 am,After tightening the defense,After losing to Zambia,As the tournament went on,4,eng_Latn,2023-05-03
https://en.wikinews.org/wiki/China%27s_economy_surpasses_Japan%27s_in_second_quarter_2,eng_Latn,https://en.wikinews.org/wiki/China%27s_economy_surpasses_Japan%27s_in_second_quarter,2,"During the last three decades, despite officially remaining a communist state, China has developed a market economy. The first economic reforms were made under the leadership of Deng Xiaoping. Since then, China's economic size has grown by 90 times. For the first time, last year China exported more cars than Germany and surpassed the United States as the biggest market for this industry. China's GDP could be larger than the United States within two decades.","According to the passage, when could China’s GDP surpass the United States?",Following more economic reforms,Within two decades,When the country is under new leadership,Within three decades,2,eng_Latn,2023-05-03
https://en.wikinews.org/wiki/Controversial_Berlin_opera_features_interactive_drug_usage_1,eng_Latn,https://en.wikinews.org/wiki/Controversial_Berlin_opera_features_interactive_drug_usage,1,"""The story presented in the French opera, by Camille Saint-Saens, is of an artist """"whose life is dictated by a love for drugs and Japan."""" As a result, the performers smoke cannabis joints on stage, and the theatre itself is encouraging the audience to join in.""",What do performers encourage the audience to do during Camille Saint-Saens’ opera?,Partake in the use of cannabis,Take a trip to Japan,Join them onstage for the performance,Allow their lives to be dictated by what they love,1,eng_Latn,2023-05-03
https://en.wikinews.org/wiki/DeLay_declares_%27victory%27_in_war_on_U.S._budget_fat_2,eng_Latn,https://en.wikinews.org/wiki/DeLay_declares_%27victory%27_in_war_on_U.S._budget_fat,2,"""The debate was sparked by controversy over spending on relief and reconstruction in the wake Hurricane Katrina; which some fiscal conservatives have humorously labeled """"Bush's New Orleans Deal."""" Liberal criticism of the reconstruction effort has focused on the awarding of reconstruction contracts to perceived Washington insiders.""",Who is criticizing the reconstruction contracts for Hurricane Katrina’s relief efforts?,Fiscal conservatives ,Liberals,Bush,Washington insiders,2,eng_Latn,2023-05-03
